ID,City,Price,Attraction Index,Normalised Attraction Index,Restraunt Index,Normalised Restraunt Index
30776,Rome, € 254.60 ,454.14,10.06,1189.36,25.90
30777,Rome, € 216.73 ,651.94,14.45,1396.52,30.41
30778,Rome, € 881.86 ,664.72,14.73,1910.09,41.59
30779,Rome, € 274.24 ,117.46,2.60,338.49,7.37
30780,Rome, € 144.02 ,318.70,7.06,886.18,19.29
30781,Rome, € 253.66 ,367.29,8.14,978.52,21.31
30782,Rome, € 161.55 ,307.21,6.81,877.62,19.11
30783,Rome, € 122.27 ,444.26,9.84,1194.40,26.01
30784,Rome, € 90.01 ,250.38,5.55,601.20,13.09
30785,Rome, € 131.39 ,180.51,4.00,515.46,11.22
30786,Rome, € 149.86 ,208.95,4.63,589.79,12.84
30787,Rome, € 132.79 ,293.62,6.51,718.95,15.65
30788,Rome, € 132.79 ,619.56,13.73,1512.26,32.93
30789,Rome, € 183.06 ,521.64,11.56,1193.02,25.98
30790,Rome, € 109.41 ,302.31,6.70,795.74,17.33
30791,Rome, € 163.89 ,212.37,4.71,559.43,12.18
30792,Rome, € 176.28 ,429.46,9.52,1175.83,25.60
30793,Rome, € 230.52 ,619.16,13.72,1638.36,35.67
30794,Rome, € 167.16 ,386.37,8.56,822.06,17.90
30795,Rome, € 97.73 ,198.21,4.39,558.06,12.15
30796,Rome, € 182.12 ,281.62,6.24,725.32,15.79
30797,Rome, € 299.72 ,2571.93,56.99,2370.32,51.61
30798,Rome, € 276.58 ,621.29,13.77,1515.34,32.99
30799,Rome, € 161.55 ,177.26,3.93,483.72,10.53
30800,Rome, € 283.59 ,512.90,11.37,1267.84,27.60
30801,Rome, € 265.12 ,726.27,16.09,1517.73,33.05
30802,Rome, € 259.28 ,750.70,16.64,1911.96,41.63
30803,Rome, € 507.10 ,1210.35,26.82,2472.58,53.84
30804,Rome, € 207.61 ,579.58,12.84,2950.37,64.24
30805,Rome, € 254.60 ,865.62,19.18,1864.95,40.61
30806,Rome, € 426.67 ,634.15,14.05,1982.02,43.15
30807,Rome, € 574.19 ,1407.75,31.20,2028.95,44.18
30808,Rome, € 149.86 ,386.37,8.56,822.06,17.90
30809,Rome, € 273.30 ,523.16,11.59,1964.69,42.78
30810,Rome, € 275.41 ,699.56,15.50,1583.21,34.47
30811,Rome, € 138.41 ,457.81,10.15,933.06,20.32
30812,Rome, € 230.52 ,868.40,19.24,1705.85,37.14
30813,Rome, € 156.87 ,227.57,5.04,651.02,14.17
30814,Rome, € 219.06 ,511.63,11.34,1638.20,35.67
30815,Rome, € 161.55 ,590.66,13.09,1349.28,29.38
30816,Rome, € 246.65 ,360.23,7.98,989.26,21.54
30817,Rome, € 228.18 ,245.71,5.44,589.18,12.83
30818,Rome, € 191.48 ,696.53,15.44,1796.73,39.12
30819,Rome, € 92.11 ,167.17,3.70,459.27,10.00
30820,Rome, € 218.83 ,159.46,3.53,436.21,9.50
30821,Rome, € 239.64 ,839.49,18.60,2764.20,60.18
30822,Rome, € 126.72 ,253.23,5.61,692.52,15.08
30823,Rome, € 161.55 ,394.48,8.74,857.33,18.67
30824,Rome, € 101.47 ,385.91,8.55,801.51,17.45
30825,Rome, € 311.18 ,718.88,15.93,2025.52,44.10
30826,Rome, € 115.49 ,318.41,7.06,842.09,18.33
30827,Rome, € 136.07 ,304.75,6.75,833.72,18.15
30828,Rome, € 150.09 ,247.42,5.48,654.61,14.25
30829,Rome, € 202.93 ,904.63,20.05,2027.75,44.15
30830,Rome, € 212.05 ,634.99,14.07,1436.28,31.27
30831,Rome, € 213.22 ,224.80,4.98,638.40,13.90
30832,Rome, € 242.21 ,406.89,9.02,1099.73,23.94
30833,Rome, € 205.27 ,359.92,7.98,993.89,21.64
30834,Rome, € 180.96 ,466.30,10.33,1091.52,23.77
30835,Rome, € 139.57 ,218.06,4.83,640.59,13.95
30836,Rome, € 206.20 ,791.62,17.54,1438.69,31.32
30837,Rome, € 147.52 ,209.35,4.64,590.55,12.86
30838,Rome, € 576.30 ,1913.61,42.41,2312.80,50.36
30839,Rome, € 178.62 ,628.46,13.93,1410.12,30.70
30840,Rome, € 242.21 ,629.88,13.96,1705.50,37.13
30841,Rome, € 168.56 ,225.66,5.00,628.24,13.68
30842,Rome, € 214.39 ,488.21,10.82,1461.26,31.82
30843,Rome, € 133.73 ,169.12,3.75,642.78,14.00
30844,Rome, € 92.11 ,495.72,10.99,1108.69,24.14
30845,Rome, € 207.61 ,386.32,8.56,832.44,18.12
30846,Rome, € 230.52 ,876.08,19.41,1619.73,35.27
30847,Rome, € 46.06 ,102.36,2.27,301.73,6.57
30848,Rome, € 218.83 ,1509.90,33.46,2230.96,48.57
30849,Rome, € 216.73 ,1394.62,30.91,2966.22,64.58
